query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
countryAE,4/12/2014,years,1,365,765,4/12/2013,4/12/2014
countryAF,4/12/2014,years,1,365,101,4/12/2013,4/12/2014
countryAG,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryAI,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryAL,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryAO,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
countryAR,4/12/2014,years,1,365,38,4/12/2013,4/12/2014
countryAT,4/12/2014,years,1,365,102,4/12/2013,4/12/2014
countryAU,4/12/2014,years,1,365,7350,4/12/2013,4/12/2014
countryAW,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryAZ,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
countryBA,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryBB,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryBD,4/12/2014,years,1,365,271,4/12/2013,4/12/2014
countryBF,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
countryBG,4/12/2014,years,1,365,91,4/12/2013,4/12/2014
countryBH,4/12/2014,years,1,365,42,4/12/2013,4/12/2014
countryBI,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
countryBM,4/12/2014,years,1,365,90,4/12/2013,4/12/2014
countryBN,4/12/2014,years,1,365,460,4/12/2013,4/12/2014
countryBO,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryBR,4/12/2014,years,1,365,312,4/12/2013,4/12/2014
countryBS,4/12/2014,years,1,365,15,4/12/2013,4/12/2014
countryBT,4/12/2014,years,1,365,13,4/12/2013,4/12/2014
countryBW,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
countryBY,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryBZ,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryCA,4/12/2014,years,1,365,9420,4/12/2013,4/12/2014
countryCD,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryCH,4/12/2014,years,1,365,611,4/12/2013,4/12/2014
countryCI,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countryCK,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryCL,4/12/2014,years,1,365,23,4/12/2013,4/12/2014
countryCM,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countryCN,4/12/2014,years,1,365,5270,4/12/2013,4/12/2014
countryCO,4/12/2014,years,1,365,116,4/12/2013,4/12/2014
countryCR,4/12/2014,years,1,365,18,4/12/2013,4/12/2014
countryCS,4/12/2014,years,1,365,466000,4/12/2013,4/12/2014
countryCU,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countryCY,4/12/2014,years,1,365,98,4/12/2013,4/12/2014
countryCZ,4/12/2014,years,1,365,76,4/12/2013,4/12/2014
countryDE,4/12/2014,years,1,365,1500,4/12/2013,4/12/2014
countryDK,4/12/2014,years,1,365,181,4/12/2013,4/12/2014
countryDM,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
countryDO,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
countryDZ,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryEC,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryEE,4/12/2014,years,1,365,24,4/12/2013,4/12/2014
countryEG,4/12/2014,years,1,365,59,4/12/2013,4/12/2014
countryES,4/12/2014,years,1,365,366,4/12/2013,4/12/2014
countryET,4/12/2014,years,1,365,40,4/12/2013,4/12/2014
countryFI,4/12/2014,years,1,365,150,4/12/2013,4/12/2014
