doc_id,domain,title,date_published,collection,tags,url
"1","bbc.co.uk","BBC News - China media: Aid to typhoon-hit Philippines","2013-11-21T06:59:19+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-25013048"
"10","bbc.co.uk","BBC News - In pictures: Philippines reels after Typhoon Haiyan","2013-11-12T12:47:41+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24900341"
"100","bbc.co.uk","BBC News - The hub of UK humanitarian aid effort in the desert","2013-11-16T14:59:26+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24954605"
"101","bbc.co.uk","BBC News - Typhoon Haiyan: Tacloban survivors wait for aid","2013-11-16T15:50:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24960836"
"102","bbc.co.uk","BBC News - Mapping Typhoon Haiyan","2013-11-13T16:26:42+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24917722"
"103","bbc.co.uk","BBC News - Scrawling messages of survival from Tacloban","2013-11-12T15:23:32+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24897533"
"103","bbc.co.uk","BBC News - Scrawling messages of survival from Tacloban","2013-11-12T15:23:32+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24897533"
"104","bbc.co.uk","BBC News - RAF aid plane on way to Philippines in relief effort","2013-11-16T09:49:55+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24954604"
"105","bbc.co.uk","BBC News - In pictures: These precious things after Typhoon Haiyan","2013-12-07T16:13:02+00:00","haiyan","bbc","http://www.bbc.co.uk/news/in-pictures-25257917"
"105","bbc.co.uk","BBC News - In pictures: These precious things after Typhoon Haiyan","2013-12-07T16:13:02+00:00","haiyan","bbc","http://www.bbc.co.uk/news/in-pictures-25257917"
"106","bbc.co.uk","BBC News - Typhoon Haiyan: Challenges for aid agencies","2013-11-14T14:27:51+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24926722"
"107","bbc.co.uk","BBC News - Paul Walker: Hollywood hero and heartthrob","2013-12-02T13:23:03+00:00","haiyan","bbc","http://www.bbc.co.uk/news/entertainment-arts-25174093"
"108","bbc.co.uk","BBC News - Typhoon Haiyan: Aid in numbers","2013-11-13T11:53:25+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-pacific-24899006"
"109","bbc.co.uk","BBC News - Typhoon Haiyan: Anxious wait for Welsh relatives","2013-11-14T13:41:52+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-wales-north-east-wales-24908791"
"11","bbc.co.uk","BBC News - HMS Illustrious crew miss Christmas to deliver aid","2013-11-26T12:06:46+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-25085241"
"110","bbc.co.uk","BBC News - PM's Christmas message to troops in Afghanistan","2013-12-22T22:28:32+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25480224"
"111","bbc.co.uk","BBC News - Typhoon Haiyan aid: Co-ordination not duplication vital","2013-11-13T00:36:18+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24906915"
"112","bbc.co.uk","BBC News - Philippines thanks world for Typhoon Haiyan aid","2014-02-09T08:54:00+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-26096479"
"113","bbc.co.uk","BBC News - Struggle for agreement at UN climate talks as green groups walk out","2013-11-22T19:46:52+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-25044961"
"114","bbc.co.uk","BBC News - Typhoon Haiyan: China rebuked for 'stingy' aid","2013-11-16T23:37:51+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-echochambers-24951258"
"115","bbc.co.uk","BBC News - Typhoon Haiyan: The search for bodies","2013-11-24T01:36:48+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25051472"
"116","bbc.co.uk","BBC News - Philippines: Picking up the pieces after Typhoon Haiyan","2013-11-22T17:52:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24869698"
