doc_id,domain,title,date_published,date_query,collection,tags,url,summary
"haiyan-google_1-11_w16(01)","redcross.org","Global Red Cross Response Effort Underway in Wake of Typhoon","","w16[2014-04-09]","haiyan","google","http://www.redcross.org/news/article/Red-Cross-Sends-Support-to-Philippines-for-Typhoon-Response","... months on, the global Red Cross network continues to help families rebuild <br> and rebound from <b>Typhoon Haiyan</b>. ... Posted March 05, 2014 , Updated <b>article</b>."
"haiyan-google_1-11_w16(02)","theguardian.com","Typhoon Haiyan: an aid worker&apos;s diary of a disaster | World news ...","2013-12-21T18:06EST","w16[2014-04-09]","haiyan","google","http://www.theguardian.com/world/2013/dec/22/typhoon-haiyan-philippines-aid-workers-diary-of-disaster","When <b>typhoon Haiyan</b> hit the Philippines early last month, she was among the <br> first ... On the way to the Geneva office, I check the <b>news</b>, but there&#39;s not much&nbsp;..."
"haiyan-google_1-11_w16(03)","voanews.com","Philippines Coconut Industry Struggles to Recover after Typhoon ...","","w16[2014-04-09]","haiyan","google","http://www.voanews.com/content/philippines-coconut-industry-struggles-to-recover-after-typhon-haiyan/1866180.html","Last December, <b>Typhoon Haiyan&#39;s</b> destructive winds devastated the Philippines. <br> ... Non-Confrontational Approach in Venezuela Means Less Media <b>Coverage</b>."
"haiyan-google_1-11_w16(04)","mirror.co.uk","Typhoon Haiyan - News, views, gossip, pictures, video - Mirror Online","","w16[2014-04-09]","haiyan","google","http://www.mirror.co.uk/all-about/typhoon%20haiyan","<b>Typhoon Haiyan</b> left thousands dead in The Philippines after it struck on 7 <br> November 2013. The category five super storm - believed to the biggest storm <br> ever to&nbsp;..."
"haiyan-google_1-11_w16(05)","undp.org","Typhoon Haiyan in the Philippines | UNDP","","w16[2014-04-09]","haiyan","google","http://www.undp.org/content/undp/en/home/ourwork/crisispreventionandrecovery/projects_initiatives/Typhoon-Yolanda-Philippines.html","Before and After: One hundred days after the typhoon, children&#39;s voices and <br> smiles returned to the halls of ... Locally known as Yolanda, <b>Typhoon Haiyan</b> <br> made landfall on 8 November in the Philippines&#39; Eastern Samar province. ... <br> Latest <b>news</b>."
"haiyan-google_1-11_w16(06)","topics.nytimes.com","Typhoon Haiyan (2013) - The New York Times","","w16[2014-04-09]","haiyan","google","http://topics.nytimes.com/top/reference/timestopics/subjects/t/typhoon_haiyan_2013/","<b>News</b> about <b>Typhoon Haiyan</b> (2013). Commentary and archival information <br> about <b>Typhoon Haiyan</b> (2013) from The New York Times."
"haiyan-google_1-11_w16(07)","aljazeera.com","One hundred days since Typhoon Haiyan - Features - Al Jazeera ...","","w16[2014-04-09]","haiyan","google","http://www.aljazeera.com/indepth/features/2014/02/one-hundred-days-since-typhoon-haiyan-20142188436327673.html","Email <b>Article</b>. Print <b>Article</b>. Share <b>article</b>. Send Feedback. Two members of Girlie <br> and Berna-Mae&#39;s family were killed in <b>Typhoon Haiyan</b> [Kim Nguyen/Al Jazeera]."
"haiyan-google_1-11_w16(08)","cnn.com","Prince Charles arranges mass vaccination for Typhoon Haiyan victims","2014-03-26T06:44:06Z","w16[2014-04-09]","haiyan","google","http://www.cnn.com/2014/03/26/world/asia/philippines-prince-charles-measles-vaccination/","The virus has ravaged the country since <b>Typhoon Haiyan</b> -- known as Yolanda in <br> the Philippines -- hit on November 8 last year, ... Part of complete <b>coverage</b> on."
"haiyan-google_1-11_w16(09)","abc.net.au","Typhoon Haiyan: hundreds unburied after Philippines storm ...","","w16[2014-04-09]","haiyan","google","http://www.abc.net.au/news/2013-12-28/phils-typhoon-corpses/5177392","Residents say more than 1000 victims of Super <b>Typhoon Haiyan</b> lie unburied <br> seven ... Australia Network <b>News</b> ... Retrieving the dead after Philippines typhoon<br> &nbsp;..."
"haiyan-google_1-11_w16(10)","deseretnews.com","LDS Church continues to aid in recovery efforts following Typhoon ...","2014-03-03","w16[2014-04-09]","haiyan","google","http://www.deseretnews.com/article/865597766/Typhoon-Haiyan-recovery.html?pg=all","Three months after <b>Typhoon Haiyan</b> struck the Philippines, recovery is underway. <br> ... By Sarah Jane Weaver, Church <b>News</b> staff writer. Published: Monday, March&nbsp;..."
"haiyan-google_1-11_w17(01)","foxnews.com","Typhoon Haiyan deaths in Philippines passes 6,000 | Fox News","2013-12-13T09:22-05:00","w17[2014-04-09]","haiyan","google","http://www.foxnews.com/world/2013/12/13/typhoon-haiyan-deaths-in-philippines-passes-6000/","The death toll from <b>Typhoon Haiyan</b> that struck the central Philippines on Nov. 8 <br> has passed 6000 with nearly 1800 people missing, officials said Friday."
"haiyan-google_1-11_w17(02)","redcross.org","Global Red Cross Response Effort Underway in Wake of Typhoon","","w17[2014-04-09]","haiyan","google","http://www.redcross.org/news/article/Red-Cross-Sends-Support-to-Philippines-for-Typhoon-Response","... months on, the global Red Cross network continues to help families rebuild <br> and rebound from <b>Typhoon Haiyan</b>. ... Posted March 05, 2014 , Updated <b>article</b>."
