doc_id,domain,title,date_published,collection,tags,url,summary
"haiyan-google_1-11(1)","cnn.com","Typhoon Haiyan death toll tops 6,000 in the Philippines - CNN.com","2013-12-13T15:15:43Z","haiyan","google","http://www.cnn.com/2013/12/13/world/asia/philippines-typhoon-haiyan/","Nearly five weeks after <b>Typhoon Haiyan</b> tore through the Philippines, the <br> government now says more than 6000 people have been reported dead."
"haiyan-google_1-11(10)","cnn.com","Photos: Typhoon Haiyan - CNN.com","2013-11-07T20:39:48Z","haiyan","google","http://www.cnn.com/2013/11/07/asia/gallery/typhoon-haiyan/","A man reconstructs his house in the bay of Tacloban, Leyte province, Philippines, <br> on Wednesday, November 27, 2013. <b>Typhoon Haiyan</b>, one of the most&nbsp;..."
"haiyan-google_1-11(2)","cnn.com","Prince Charles arranges mass vaccination for Typhoon Haiyan victims","2014-03-26T06:44:06Z","haiyan","google","http://www.cnn.com/2014/03/26/world/asia/philippines-prince-charles-measles-vaccination/","The virus has ravaged the country since <b>Typhoon Haiyan</b> -- known as Yolanda in <br> the Philippines -- hit on November 8 last year, leaving more than 6,000 dead&nbsp;..."
"haiyan-google_1-11(3)","cnn.com","Typhoon Haiyan: Scenes of devastation, calls for help - CNN.com","2013-11-12T11:43:36Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/typhoon-haiyan-vignettes/","The city of Tacloban is one of many dealing with the death and destruction that <br> <b>Typhoon Haiyan</b> left behind."
"haiyan-google_1-11(4)","cnn.com","Typhoon Haiyan leaves 1,774 dead, &apos;hideous&apos; destruction - CNN.com","2013-11-11T09:04:04Z","haiyan","google","http://www.cnn.com/2013/11/11/world/asia/typhoon-haiyan/","<b>Typhoon Haiyan</b>, one of the most powerful storms on record, hit the country&#39;s <br> eastern seaboard on November 8, leaving a wide swath of destruction, including<br> &nbsp;..."
"haiyan-google_1-11(5)","cnn.com","Typhoon Haiyan: No medicine, little aid at Tacloban clinic - CNN.com","2013-11-13T08:54:52Z","haiyan","google","http://www.cnn.com/2013/11/13/world/asia/typhoon-haiyan/","In the aftermath of <b>Typhoon Haiyan</b>, tons of food have arrived in the Philippines, <br> but many starving people have yet to get a bite of it."
"haiyan-google_1-11(6)","cnn.com","&apos;I saw hope in their eyes&apos;: Heroes team up for typhoon relief - CNN.com","2013-11-28T20:11:43Z","haiyan","google","http://www.cnn.com/2013/11/28/world/cnnheroes-typhoon-haiyan/","Tacloban, Philippines (CNN) -- Efren Penaflorida was grateful when <b>Typhoon</b> <br> <b>Haiyan</b> bypassed his home in Cavite City, Philippines. But when he saw the&nbsp;..."
"haiyan-google_1-11(7)","cnn.com","Scenes of devastation and some relief after Typhoon Haiyan - CNN ...","2013-11-11T08:56:52Z","haiyan","google","http://www.cnn.com/2013/11/11/world/asia/typhoon-haiyan-vignettes/","Amid desperation, some hope. The U.S. Marines arrived to bolster relief efforts <br> after <b>Typhoon Haiyan</b> swept through the Philippines."
"haiyan-google_1-11(8)","edition.cnn.com","Jason Day loses eight relatives to Typhoon Haiyan - CNN.com","2013-11-18T13:00:30Z","haiyan","google","http://edition.cnn.com/2013/11/18/sport/jason-day-typhoon-haiyan-golf/","Golfer Jason Day lost eight relatives during <b>Typhoon Haiyan</b>; Day reportedly lost <br> his grandmother, his uncle and six cousins during the typhoon; The Australian&#39;s&nbsp;..."
"haiyan-google_1-11(9)","cnn.com","Typhoon Haiyan&apos;s toll: More than 1,800 dead, 580,000 displaced ...","2013-11-12T08:25:56Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/typhoon-haiyan/","Aid organizations and nations around the world raced Tuesday to deliver aid to <br> areas of the Philippines devastated by <b>Typhoon Haiyan</b> four days earlier."
