query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end,doc_id,domain,title,date_published,collection,tags,url,summary,clean_text
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(01)","oxfam.org","Philippines Typhoon Haiyan | Oxfam International","","haiyan","google-blog","http://www.oxfam.org/en/emergencies/philippines-typhoon-haiyan","Thank you banner, in a village hit by <b>Typhoon Haiyan</b>, in the Philippines ... <b>Blog</b>: <br> One month after <b>Typhoon Haiyan</b>: Rebuilding a just and resilient society.","English Français Español Jobs Press Reports Contact Skip to Navigation Search this site: Home › Emergencies › Philippines Typhoon Haiyan We have reached 550,000 people with humanitarian aid Philippines Typhoon Haiyan View Updates Donate now “Making sure people have clean water, food and safe sanitation is our immediate priority.” On 8 November 2013, Typhoon Haiyan hit the Philippines, affecting about 14 million people. Three months on, despite a huge national and international effort, humanitari[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(02)","theguardian.com","Typhoon Haiyan | World news | The Guardian","","haiyan","google-blog","http://www.theguardian.com/world/typhoon-haiyan","Latest news and comment on <b>Typhoon Haiyan</b> from the&nbsp;...","English Français Español Jobs Press Reports Contact Skip to Navigation Search this site: Home › Emergencies › Philippines Typhoon Haiyan We have reached 550,000 people with humanitarian aid Philippines Typhoon Haiyan View Updates Donate now “Making sure people have clean water, food and safe sanitation is our immediate priority.” On 8 November 2013, Typhoon Haiyan hit the Philippines, affecting about 14 million people. Three months on, despite a huge national and international effort, humanitari[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(03)","politicsofpoverty.oxfamamerica.org","Dispatch from the Philippines: A livelihoods crisis looms in the wake ...","","haiyan","google-blog","http://politicsofpoverty.oxfamamerica.org/2014/02/philippines-livelihoods-crisis-looms-typhoon-haiyan/","Rainero and Vilma Silvano outside their home in Tanauan, Leyte. The coconut <br> industry suffered widespread damage during <b>Typhoon Haiyan</b>, putting the&nbsp;...","Turn autoplay off Turn autoplay on Please activate cookies in order to turn autoplay off Jump to content [s] Jump to site navigation [0] Jump to search [4] Terms and conditions [8] Edition: UK US AU Your activity Email subscriptions Account details Linked services Sign out Profile Beta About us About us Contact us Press office Terms of service Privacy policy Subscribe Guardian iPhone iPad edition Kindle Guardian Weekly Digital edition News US World Sports Comment Culture Business Money Environme[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(04)","newint.org","Typhoon Haiyan, three months on -- New Internationalist","","haiyan","google-blog","http://newint.org/blog/2014/02/07/typhoon-haiyan-three-months-on/","Home › &middot; New Internationalist <b>Blogs</b> › ... It was six days after <b>Typhoon Haiyan</b> <br> struck. ... The region was one of the poorest in the country even before Haiyan hit.","New Internationalist Home Magazine Books Blog Shop Subscribe Become a friend Get app About us We are 40! Politics Environment Economics Development Culture Humanrights Activism Corporations Country Argument More» Home › New Internationalist Blogs › Typhoon Haiyan, three months on By Maila Quiring | 0 Picking through the debris. People are now starting to build or repair homes. Wikimedia Commons under a Creative Commons Licence The foul odour and sight of the piles of debris that littered the sid[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(05)","usaid.gov","Typhoon Haiyan (Yolanda) | U.S. Agency for International ...","","haiyan","google-blog","http://www.usaid.gov/haiyan","On November 8, <b>Typhoon Haiyan</b>—known as Typhoon Yolanda in the ... 11/19/<br> 2013: <b>Blog</b>: Photos of the Week: USAID Response to <b>Typhoon Haiyan</b>.","Skip to main content U.S. Agency for International Development USAID Leadership Who We Are backWho We Are Who We Are About USAID Who We Are Annual Letter Mission, Vision and Values USAID History Organization Operational Policy (ADS) Transparency Resource Portal What We Do backWhat We Do What We Do Areas of Focus What We Do Agriculture and Food Security Democracy, Human Rights and Governance Economic Growth and Trade Education Ending Extreme Poverty Environment and Global Climate Change Gender Eq[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(06)","trust.org","Super typhoon Haiyan wreaks havoc in Philippines","","haiyan","google-blog","http://www.trust.org/spotlight/Super-typhoon-Haiyan-wreaks-havoc-in-Philippines/","Home of the Thomson Reuters Foundation. News and jobs from AlertNet (<br> Humanitarian &amp; Climate), TrustLaw (Women &amp; Corruption) plus TrustMedia <br> journalism&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(07)","convoyofhope.org","Philippines Typhoon Response","","haiyan","google-blog","http://www.convoyofhope.org/blog/features/disaster-response/philippines-typhoon-response/","Super <b>Typhoon Haiyan</b> Response Update 5 | Download ... The remains of a <br> children&#39;s play area after being hit by <b>Typhoon Haiyan</b>. | Download. Children <br> wander through the aftermath of Super <b>Typhoon Haiyan</b> in ..... <b>Blog</b> Categories &amp; <br> Tags&nbsp;...","Skip to main content U.S. Agency for International Development USAID Leadership Who We Are backWho We Are Who We Are About USAID Who We Are Annual Letter Mission, Vision and Values USAID History Organization Operational Policy (ADS) Transparency Resource Portal What We Do backWhat We Do What We Do Areas of Focus What We Do Agriculture and Food Security Democracy, Human Rights and Governance Economic Growth and Trade Education Ending Extreme Poverty Environment and Global Climate Change Gender Eq[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(08)","fieldnotes.unicefusa.org","Texas Students Support Typhoon Haiyan Relief Efforts | UNICEF ...","","haiyan","google-blog","http://fieldnotes.unicefusa.org/2014/01/texas-students-support-typhoon-haiyan-relief-efforts.html","Students at Saint Mary&#39;s Hall in San Antonio, Texas, raised $4000 for <b>Typhoon</b> <br> <b>Haiyan</b> relief efforts in the Philippines. The students presented the check to Henry<br> &nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(09)","helpage.org","Typhoon Haiyan: Inspiring recovery, lasting damage | Blogs ...","","haiyan","google-blog","http://www.helpage.org/blogs/carolyn-canham-2758/typhoon-haiyan-inspiring-recovery-lasting-damage-690/","This is the sight that greets you as you approach Tacloban – one of the areas <br> most devastated by <b>Typhoon Haiyan</b> (known in the Philippines as Yolanda).","Skip to main content U.S. Agency for International Development USAID Leadership Who We Are backWho We Are Who We Are About USAID Who We Are Annual Letter Mission, Vision and Values USAID History Organization Operational Policy (ADS) Transparency Resource Portal What We Do backWhat We Do What We Do Areas of Focus What We Do Agriculture and Food Security Democracy, Human Rights and Governance Economic Growth and Trade Education Ending Extreme Poverty Environment and Global Climate Change Gender Eq[...]"
"2014-04-10","weeks","14","98","64000","2014-01-02","2014-01-09","haiyan-google-blog_1-10_w14(10)","blog.worldvision.org","Tag Archives: Typhoon Haiyan | World Vision Blog","","haiyan","google-blog","http://blog.worldvision.org/tag/typhoon-haiyan","Today marks two months since <b>Typhoon Haiyan</b> made landfall in the Philippines. <br> After the storm, World Vision communicator Annila Harris visited survivors and&nbsp;...","World Vision USA Building a better world for children MY BASKET (0) SIGN IN Our Impact Our Impact Global Map Clean Water Disaster Relief Economic Development Education Food &amp; Agriculture Health U.S. Work Child Protection Country Profiles Faith In Action Our Impact Sponsor a Child Sponsor a Child How Sponsorship Works Sponsor a Child Ways to Give Ways to Give Gift Catalog Matching Gifts Where Most Needed Corporate Giving Meet Basic Needs Planned Giving Fund a Micro Loan Ways to Give Get Invol[...]"
