query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end,doc_id,domain,title,date_published,collection,tags,url,summary
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(01)","thenational.ae","Hope in Philippines after Super Typhoon Haiyan | The National","2013-12-19T11:51:26Z","haiyan","google-country","http://www.thenational.ae/world/philippines/hope-in-philippines-after-super-typhoon-haiyan","An aerial view shows the damage after <b>Typhoon Haiyan</b> hit the east coast of the <br> ... Hope in Philippines after Super <b>Typhoon Haiyan</b> ..... Previous <b>article</b>."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(02)","gulfnews.com","The Philippines after super typhoon Haiyan | GulfNews.com","","haiyan","google-country","http://gulfnews.com/pictures/news/the-philippines-after-super-typhoon-haiyan-1.1252699","Pictures | <b>News</b>. The Philippines after super <b>typhoon Haiyan</b>. World&#39;s strongest <br> typhoon leaves a trail of ... Gulf <b>News</b>. «» Image 1/1View Thumbnails. Close [x]."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(03)","thenational.ae","One month after super typhoon Haiyan, Philippines faces huge ...","2013-12-08T16:07:42Z","haiyan","google-country","http://www.thenational.ae/world/southeast-asia/one-month-after-super-typhoon-haiyan-philippines-faces-huge-challenges","One month after super <b>typhoon Haiyan</b>, Philippines faces huge challenges. <br> Masses of survivors .... Philippines typhoon survivors still waiting for <b>news</b> of <br> missing."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(04)","gulfnews.com","Life after typhoon Haiyan in Philippines | GulfNews.com","","haiyan","google-country","http://gulfnews.com/pictures/news/life-after-typhoon-haiyan-in-philippines-1.1256931","The Philippines is facing an enormous rebuilding task from <b>Typhoon Haiyan</b> <br> which killed more than 3 000 people and left 1 186 missing with many isolated&nbsp;..."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(05)","pcgdubai.net","Dubai&apos;s Al Rostamani Hands Over Donation for Typhoon Haiyan ...","","haiyan","google-country","http://www.pcgdubai.net/2014/02/dubais-al-rostamani-hands-over-donation-for-typhoon-haiyan-yolanda-victims/","Dubai&#39;s Al Rostamani Hands Over Donation for <b>Typhoon Haiyan</b>/ <b>Yolanda</b> <br> Victims. The Consulate General of the Philippines in Dubai and N. Emirates <br> received&nbsp;..."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(06)","emirates247.com","Super Typhoon Haiyan update: 600,000 hit - Emirates 24/7","Sunday, November 10, 2013","haiyan","google-country","http://www.emirates247.com/news/super-typhoon-haiyan-update-600-000-hit-2013-11-09-1.527355","Super <b>typhoon Haiyan</b> is estimated to have destroyed about 70 to 80 percent of <br> structures in its path as it tore into the .... Don&#39;t miss out on the latest <b>news</b>"
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(07)","arabiantravelnews.com","Region&apos;s trade hit by Typhoon Haiyan","","haiyan","google-country","http://arabiantravelnews.com/agents/2013/dec/18/349557/","<b>Typhoon Haiyan</b>, which ripped through Philippines on November 9, has been ... <br> At the time this <b>article</b> went to press, the exact numbers of the lives lost, homes&nbsp;..."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(08)","emirates247.com","Typhoon Haiyan: Dubai community schools join aid relief for ...","Sunday, November 17, 2013","haiyan","google-country","http://www.emirates247.com/news/philippines/typhoon-haiyan-dubai-community-schools-join-aid-relief-for-philippine-victims-2013-11-17-1.528282","<b>Typhoon Haiyan</b> was one of the most powerful storms on record. ... 4 million <br> children affected by Super <b>Typhoon Haiyan</b> ... Don&#39;t miss out on the latest <b>news</b>"
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(09)","janesarabia.com","How to Help Typhoon Haiyan Victims in the Philippines | The Desert ...","","haiyan","google-country","http://www.janesarabia.com/2013/11/how-to-help-typhoon-haiyan-victims-in-the-philippines/","Whenever I check my Facebook&#39;s news feed, I see terrible news and disturbing <br> images from the wrath of <b>Yolanda</b> (<b>typhoon Haiyan</b>). With this, I encourage fellow<br> &nbsp;..."
"2014-04-12","years","1","365","765","2013-04-12","2014-04-12","haiyan-google-countryAE-1-10_y1(10)","philanthropyage.org","Philippines faces $8bn repair bill for typhoon Haiyan - Philanthropy ...","","haiyan","google-country","http://www.philanthropyage.org/2013/12/22/philippines-faces-8bn-repair-bill-typhoon-haiyan/","<b>Typhoon Haiyan</b>, known locally as <b>Yolanda</b>, swept across the Philippines on 8 <br> November, killing almost 6,000 people and causing more than 4 million to flee&nbsp;..."
