query_url,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"countryAE","2014-04-12","years","1","365","765","2013-04-12","2014-04-12"
"countryAF","2014-04-12","years","1","365","101","2013-04-12","2014-04-12"
"countryAG","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryAI","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryAL","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryAO","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"countryAR","2014-04-12","years","1","365","38","2013-04-12","2014-04-12"
"countryAT","2014-04-12","years","1","365","102","2013-04-12","2014-04-12"
"countryAU","2014-04-12","years","1","365","7350","2013-04-12","2014-04-12"
"countryAW","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryAZ","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"countryBA","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryBB","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryBD","2014-04-12","years","1","365","271","2013-04-12","2014-04-12"
"countryBF","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"countryBG","2014-04-12","years","1","365","91","2013-04-12","2014-04-12"
"countryBH","2014-04-12","years","1","365","42","2013-04-12","2014-04-12"
"countryBI","2014-04-12","years","1","365","10","2013-04-12","2014-04-12"
"countryBM","2014-04-12","years","1","365","90","2013-04-12","2014-04-12"
"countryBN","2014-04-12","years","1","365","460","2013-04-12","2014-04-12"
"countryBO","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryBR","2014-04-12","years","1","365","312","2013-04-12","2014-04-12"
"countryBS","2014-04-12","years","1","365","15","2013-04-12","2014-04-12"
"countryBT","2014-04-12","years","1","365","13","2013-04-12","2014-04-12"
"countryBW","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryBY","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryBZ","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryCA","2014-04-12","years","1","365","9420","2013-04-12","2014-04-12"
"countryCD","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryCH","2014-04-12","years","1","365","611","2013-04-12","2014-04-12"
"countryCI","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryCK","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryCL","2014-04-12","years","1","365","23","2013-04-12","2014-04-12"
"countryCM","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countryCN","2014-04-12","years","1","365","5270","2013-04-12","2014-04-12"
"countryCO","2014-04-12","years","1","365","116","2013-04-12","2014-04-12"
"countryCR","2014-04-12","years","1","365","18","2013-04-12","2014-04-12"
"countryCS","2014-04-12","years","1","365","466000","2013-04-12","2014-04-12"
"countryCU","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countryCY","2014-04-12","years","1","365","98","2013-04-12","2014-04-12"
"countryCZ","2014-04-12","years","1","365","76","2013-04-12","2014-04-12"
"countryDE","2014-04-12","years","1","365","1500","2013-04-12","2014-04-12"
"countryDK","2014-04-12","years","1","365","181","2013-04-12","2014-04-12"
"countryDM","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"countryDO","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryDZ","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryEC","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryEE","2014-04-12","years","1","365","24","2013-04-12","2014-04-12"
"countryEG","2014-04-12","years","1","365","59","2013-04-12","2014-04-12"
"countryES","2014-04-12","years","1","365","366","2013-04-12","2014-04-12"
"countryET","2014-04-12","years","1","365","40","2013-04-12","2014-04-12"
"countryFI","2014-04-12","years","1","365","150","2013-04-12","2014-04-12"
"countryFJ","2014-04-12","years","1","365","48","2013-04-12","2014-04-12"
"countryFK","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryFM","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryFR","2014-04-12","years","1","365","1310","2013-04-12","2014-04-12"
"countryGA","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryGD","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryGE","2014-04-12","years","1","365","33","2013-04-12","2014-04-12"
"countryGH","2014-04-12","years","1","365","51","2013-04-12","2014-04-12"
"countryGI","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryGL","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryGM","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryGN","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryGR","2014-04-12","years","1","365","3230","2013-04-12","2014-04-12"
"countryGT","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryGU","2014-04-12","years","1","365","87","2013-04-12","2014-04-12"
"countryGY","2014-04-12","years","1","365","45","2013-04-12","2014-04-12"
"countryHK","2014-04-12","years","1","365","1180","2013-04-12","2014-04-12"
