query_url,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"United Arab Emirates","2014-04-12","years","1","365","765","2013-04-12","2014-04-12"
"Afghanistan","2014-04-12","years","1","365","101","2013-04-12","2014-04-12"
"Antigua and Barbuda","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Anguilla","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"Albania","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"Angola","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"Argentina","2014-04-12","years","1","365","38","2013-04-12","2014-04-12"
"Austria","2014-04-12","years","1","365","102","2013-04-12","2014-04-12"
"Australia","2014-04-12","years","1","365","7350","2013-04-12","2014-04-12"
"Aruba","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"Azerbaijan","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"Bosnia and Herzegovina","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"Barbados","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"Bangladesh","2014-04-12","years","1","365","271","2013-04-12","2014-04-12"
"Burkina Faso","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"Bulgaria","2014-04-12","years","1","365","91","2013-04-12","2014-04-12"
"Bahrain","2014-04-12","years","1","365","42","2013-04-12","2014-04-12"
"Burundi","2014-04-12","years","1","365","10","2013-04-12","2014-04-12"
"Bermuda","2014-04-12","years","1","365","90","2013-04-12","2014-04-12"
"Brunei Darussalam","2014-04-12","years","1","365","460","2013-04-12","2014-04-12"
"Bolivia","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"Brazil","2014-04-12","years","1","365","312","2013-04-12","2014-04-12"
"Bahamas","2014-04-12","years","1","365","15","2013-04-12","2014-04-12"
"Bhutan","2014-04-12","years","1","365","13","2013-04-12","2014-04-12"
"Botswana","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"Belarus","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Belize","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"Canada","2014-04-12","years","1","365","9420","2013-04-12","2014-04-12"
"&quot;Congo, the Democratic Republic of the&quot;","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"Switzerland","2014-04-12","years","1","365","611","2013-04-12","2014-04-12"
"Cote D'ivoire","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"Cook Islands","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"Chile","2014-04-12","years","1","365","23","2013-04-12","2014-04-12"
"Cameroon","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"China","2014-04-12","years","1","365","5270","2013-04-12","2014-04-12"
"Colombia","2014-04-12","years","1","365","116","2013-04-12","2014-04-12"
"Costa Rica","2014-04-12","years","1","365","18","2013-04-12","2014-04-12"
"Serbia and Montenegro","2014-04-12","years","1","365","466000","2013-04-12","2014-04-12"
"Cuba","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"Cyprus","2014-04-12","years","1","365","98","2013-04-12","2014-04-12"
"Czech Republic","2014-04-12","years","1","365","76","2013-04-12","2014-04-12"
"Germany","2014-04-12","years","1","365","1500","2013-04-12","2014-04-12"
"Denmark","2014-04-12","years","1","365","181","2013-04-12","2014-04-12"
"Dominica","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"Dominican Republic","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"Algeria","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"Ecuador","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"Estonia","2014-04-12","years","1","365","24","2013-04-12","2014-04-12"
"Egypt","2014-04-12","years","1","365","59","2013-04-12","2014-04-12"
"Spain","2014-04-12","years","1","365","366","2013-04-12","2014-04-12"
"Ethiopia","2014-04-12","years","1","365","40","2013-04-12","2014-04-12"
"Finland","2014-04-12","years","1","365","150","2013-04-12","2014-04-12"
"Fiji","2014-04-12","years","1","365","48","2013-04-12","2014-04-12"
"Falkland Islands (Malvinas)","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"&quot;Micronesia, Federated States of&quot;","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"France","2014-04-12","years","1","365","1310","2013-04-12","2014-04-12"
"Gabon","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"Grenada","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Georgia","2014-04-12","years","1","365","33","2013-04-12","2014-04-12"
"Ghana","2014-04-12","years","1","365","51","2013-04-12","2014-04-12"
"Gibraltar","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"Greenland","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"Gambia","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"Guinea","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"Greece","2014-04-12","years","1","365","3230","2013-04-12","2014-04-12"
"Guatemala","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"Guam","2014-04-12","years","1","365","87","2013-04-12","2014-04-12"
"Guyana","2014-04-12","years","1","365","45","2013-04-12","2014-04-12"
"Hong Kong","2014-04-12","years","1","365","1180","2013-04-12","2014-04-12"
"Honduras","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"Croatia (Hrvatska)","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"Haiti","2014-04-12","years","1","365","55","2013-04-12","2014-04-12"
"Hungary","2014-04-12","years","1","365","116","2013-04-12","2014-04-12"
"Indonesia","2014-04-12","years","1","365","1200","2013-04-12","2014-04-12"
"Ireland","2014-04-12","years","1","365","1420","2013-04-12","2014-04-12"
"Israel","2014-04-12","years","1","365","307","2013-04-12","2014-04-12"
"India","2014-04-12","years","1","365","5600","2013-04-12","2014-04-12"
"Iraq","2014-04-12","years","1","365","12","2013-04-12","2014-04-12"
"&quot;Iran, Islamic Republic of&quot;","2014-04-12","years","1","365","104","2013-04-12","2014-04-12"
"Italy","2014-04-12","years","1","365","974","2013-04-12","2014-04-12"
"Jamaica","2014-04-12","years","1","365","57","2013-04-12","2014-04-12"
"Jordan","2014-04-12","years","1","365","37","2013-04-12","2014-04-12"
"Japan","2014-04-12","years","1","365","2130","2013-04-12","2014-04-12"
"Kenya","2014-04-12","years","1","365","803","2013-04-12","2014-04-12"
"Kyrgyzstan","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"Cambodia","2014-04-12","years","1","365","165","2013-04-12","2014-04-12"
"Kiribati","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"Saint Kitts and Nevis","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"&quot;Korea, Republic of&quot;","2014-04-12","years","1","365","584","2013-04-12","2014-04-12"
"Kuwait","2014-04-12","years","1","365","47","2013-04-12","2014-04-12"
"Cayman Islands","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"Kazakhstan","2014-04-12","years","1","365","32","2013-04-12","2014-04-12"
"Lao People's Democratic Republic","2014-04-12","years","1","365","43","2013-04-12","2014-04-12"
"Lebanon","2014-04-12","years","1","365","58","2013-04-12","2014-04-12"
"Liechtenstein","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Sri Lanka","2014-04-12","years","1","365","171","2013-04-12","2014-04-12"
"Liberia","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"Lesotho","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"Lithuania","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"Luxembourg","2014-04-12","years","1","365","194","2013-04-12","2014-04-12"
"Latvia","2014-04-12","years","1","365","67","2013-04-12","2014-04-12"
