query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
United Arab Emirates,4/12/2014,years,1,365,765,4/12/2013,4/12/2014
Afghanistan,4/12/2014,years,1,365,101,4/12/2013,4/12/2014
Antigua and Barbuda,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Anguilla,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Albania,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Angola,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
Argentina,4/12/2014,years,1,365,38,4/12/2013,4/12/2014
Austria,4/12/2014,years,1,365,102,4/12/2013,4/12/2014
Australia,4/12/2014,years,1,365,7350,4/12/2013,4/12/2014
Aruba,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Azerbaijan,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
Bosnia and Herzegovina,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Barbados,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Bangladesh,4/12/2014,years,1,365,271,4/12/2013,4/12/2014
Burkina Faso,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
Bulgaria,4/12/2014,years,1,365,91,4/12/2013,4/12/2014
Bahrain,4/12/2014,years,1,365,42,4/12/2013,4/12/2014
Burundi,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
Bermuda,4/12/2014,years,1,365,90,4/12/2013,4/12/2014
Brunei Darussalam,4/12/2014,years,1,365,460,4/12/2013,4/12/2014
Bolivia,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Brazil,4/12/2014,years,1,365,312,4/12/2013,4/12/2014
Bahamas,4/12/2014,years,1,365,15,4/12/2013,4/12/2014
Bhutan,4/12/2014,years,1,365,13,4/12/2013,4/12/2014
Botswana,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Belarus,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Belize,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Canada,4/12/2014,years,1,365,9420,4/12/2013,4/12/2014
"&quot;Congo, the Democratic Republic of the&quot;",4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Switzerland,4/12/2014,years,1,365,611,4/12/2013,4/12/2014
Cote D'ivoire,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Cook Islands,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Chile,4/12/2014,years,1,365,23,4/12/2013,4/12/2014
Cameroon,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
China,4/12/2014,years,1,365,5270,4/12/2013,4/12/2014
Colombia,4/12/2014,years,1,365,116,4/12/2013,4/12/2014
Costa Rica,4/12/2014,years,1,365,18,4/12/2013,4/12/2014
Serbia and Montenegro,4/12/2014,years,1,365,466000,4/12/2013,4/12/2014
Cuba,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
Cyprus,4/12/2014,years,1,365,98,4/12/2013,4/12/2014
Czech Republic,4/12/2014,years,1,365,76,4/12/2013,4/12/2014
Germany,4/12/2014,years,1,365,1500,4/12/2013,4/12/2014
Denmark,4/12/2014,years,1,365,181,4/12/2013,4/12/2014
Dominica,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
Dominican Republic,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Algeria,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Ecuador,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Estonia,4/12/2014,years,1,365,24,4/12/2013,4/12/2014
Egypt,4/12/2014,years,1,365,59,4/12/2013,4/12/2014
Spain,4/12/2014,years,1,365,366,4/12/2013,4/12/2014
Ethiopia,4/12/2014,years,1,365,40,4/12/2013,4/12/2014
Finland,4/12/2014,years,1,365,150,4/12/2013,4/12/2014
Fiji,4/12/2014,years,1,365,48,4/12/2013,4/12/2014
Falkland Islands (Malvinas),4/12/2014,years,1,365,1,4/12/2013,4/12/2014
"&quot;Micronesia, Federated States of&quot;",4/12/2014,years,1,365,7,4/12/2013,4/12/2014
France,4/12/2014,years,1,365,1310,4/12/2013,4/12/2014
Gabon,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Grenada,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Georgia,4/12/2014,years,1,365,33,4/12/2013,4/12/2014
Ghana,4/12/2014,years,1,365,51,4/12/2013,4/12/2014
Gibraltar,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Greenland,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Gambia,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Guinea,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Greece,4/12/2014,years,1,365,3230,4/12/2013,4/12/2014
Guatemala,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Guam,4/12/2014,years,1,365,87,4/12/2013,4/12/2014
Guyana,4/12/2014,years,1,365,45,4/12/2013,4/12/2014
Hong Kong,4/12/2014,years,1,365,1180,4/12/2013,4/12/2014
Honduras,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Croatia (Hrvatska),4/12/2014,years,1,365,25,4/12/2013,4/12/2014
Haiti,4/12/2014,years,1,365,55,4/12/2013,4/12/2014
Hungary,4/12/2014,years,1,365,116,4/12/2013,4/12/2014
Indonesia,4/12/2014,years,1,365,1200,4/12/2013,4/12/2014
Ireland,4/12/2014,years,1,365,1420,4/12/2013,4/12/2014
Israel,4/12/2014,years,1,365,307,4/12/2013,4/12/2014
India,4/12/2014,years,1,365,5600,4/12/2013,4/12/2014
Iraq,4/12/2014,years,1,365,12,4/12/2013,4/12/2014
"&quot;Iran, Islamic Republic of&quot;",4/12/2014,years,1,365,104,4/12/2013,4/12/2014
Italy,4/12/2014,years,1,365,974,4/12/2013,4/12/2014
Jamaica,4/12/2014,years,1,365,57,4/12/2013,4/12/2014
Jordan,4/12/2014,years,1,365,37,4/12/2013,4/12/2014
Japan,4/12/2014,years,1,365,2130,4/12/2013,4/12/2014
Kenya,4/12/2014,years,1,365,803,4/12/2013,4/12/2014
Kyrgyzstan,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Cambodia,4/12/2014,years,1,365,165,4/12/2013,4/12/2014
Kiribati,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
Saint Kitts and Nevis,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
"&quot;Korea, Republic of&quot;",4/12/2014,years,1,365,584,4/12/2013,4/12/2014
Kuwait,4/12/2014,years,1,365,47,4/12/2013,4/12/2014
Cayman Islands,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
Kazakhstan,4/12/2014,years,1,365,32,4/12/2013,4/12/2014
Lao People's Democratic Republic,4/12/2014,years,1,365,43,4/12/2013,4/12/2014
Lebanon,4/12/2014,years,1,365,58,4/12/2013,4/12/2014
Liechtenstein,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Sri Lanka,4/12/2014,years,1,365,171,4/12/2013,4/12/2014
Liberia,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
Lesotho,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Lithuania,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Luxembourg,4/12/2014,years,1,365,194,4/12/2013,4/12/2014
Latvia,4/12/2014,years,1,365,67,4/12/2013,4/12/2014
Libyan Arab Jamahiriya,4/12/2014,years,1,365,97,4/12/2013,4/12/2014
Morocco,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Monaco,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
"&quot;Moldova, Republic of&quot;",4/12/2014,years,1,365,10,4/12/2013,4/12/2014
Madagascar,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Marshall Islands,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
"&quot;Macedonia, the Former Yugosalv Republic of&quot;",4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Mali,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
Myanmar,4/12/2014,years,1,365,82,4/12/2013,4/12/2014
Mongolia,4/12/2014,years,1,365,18,4/12/2013,4/12/2014
Macao,4/12/2014,years,1,365,31,4/12/2013,4/12/2014
Northern Mariana Islands,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Mauritania,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Malta,4/12/2014,years,1,365,104,4/12/2013,4/12/2014
Mauritius,4/12/2014,years,1,365,69,4/12/2013,4/12/2014
Maldives,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Malawi,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
Mexico,4/12/2014,years,1,365,368,4/12/2013,4/12/2014
Malaysia,4/12/2014,years,1,365,3460,4/12/2013,4/12/2014
Mozambique,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Namibia,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
Nigeria,4/12/2014,years,1,365,167,4/12/2013,4/12/2014
Nicaragua,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Netherlands,4/12/2014,years,1,365,470,4/12/2013,4/12/2014
Norway,4/12/2014,years,1,365,203,4/12/2013,4/12/2014
Nepal,4/12/2014,years,1,365,58,4/12/2013,4/12/2014
Nauru,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
New Zealand,4/12/2014,years,1,365,1550,4/12/2013,4/12/2014
Oman,4/12/2014,years,1,365,31,4/12/2013,4/12/2014
Panama,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
Peru,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Papua New Guinea,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
Philippines,4/12/2014,years,1,365,27700,4/12/2013,4/12/2014
Pakistan,4/12/2014,years,1,365,471,4/12/2013,4/12/2014
Poland,4/12/2014,years,1,365,120,4/12/2013,4/12/2014
Puerto Rico,4/12/2014,years,1,365,41,4/12/2013,4/12/2014
Palestinian Territory,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Portugal,4/12/2014,years,1,365,92,4/12/2013,4/12/2014
Palau,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Qatar,4/12/2014,years,1,365,156,4/12/2013,4/12/2014
Reunion,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Romania,4/12/2014,years,1,365,194,4/12/2013,4/12/2014
Russian Federation,4/12/2014,years,1,365,232,4/12/2013,4/12/2014
Rwanda,4/12/2014,years,1,365,48,4/12/2013,4/12/2014
Saudi Arabia,4/12/2014,years,1,365,211,4/12/2013,4/12/2014
Solomon Islands,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Seychelles,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Sweden,4/12/2014,years,1,365,271,4/12/2013,4/12/2014
Singapore,4/12/2014,years,1,365,13400,4/12/2013,4/12/2014
Saint Helena,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Slovenia,4/12/2014,years,1,365,74,4/12/2013,4/12/2014
Svalbard and Jan Mayen,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Slovakia,4/12/2014,years,1,365,72,4/12/2013,4/12/2014
Sierra Leone,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
Senegal,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
Somalia,4/12/2014,years,1,365,201,4/12/2013,4/12/2014
Sao Tome and Principe,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
El Salvador,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Turks and Caicos Islands,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Chad,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
Thailand,4/12/2014,years,1,365,961,4/12/2013,4/12/2014
Tajikistan,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Turkmenistan,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Tunisia,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
Tonga,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
Turkey,4/12/2014,years,1,365,301,4/12/2013,4/12/2014
Trinidad and Tobago,4/12/2014,years,1,365,38,4/12/2013,4/12/2014
"&quot;Taiwan, Province of China&quot;",4/12/2014,years,1,365,715,4/12/2013,4/12/2014
"&quot;Tanzania, United Republic of&quot;",4/12/2014,years,1,365,178,4/12/2013,4/12/2014
Ukraine,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
Uganda,4/12/2014,years,1,365,114,4/12/2013,4/12/2014
United Kingdom,4/12/2014,years,1,365,19200,4/12/2013,4/12/2014
United States,4/12/2014,years,1,365,491000,4/12/2013,4/12/2014
Uruguay,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
Uzbekistan,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Holy See (Vatican City State),4/12/2014,years,1,365,40,4/12/2013,4/12/2014
Saint Vincent and the Grenadines,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
Venezuela,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
"&quot;Virgin Islands, British&quot;",4/12/2014,years,1,365,3,4/12/2013,4/12/2014
"&quot;Virgin Islands, U.S.&quot;",4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Vietnam,4/12/2014,years,1,365,1750,4/12/2013,4/12/2014
Vanuatu,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
Samoa,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
Yemen,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
South Africa,4/12/2014,years,1,365,928,4/12/2013,4/12/2014
Zambia,4/12/2014,years,1,365,19,4/12/2013,4/12/2014
Zimbabwe,4/12/2014,years,1,365,61,4/12/2013,4/12/2014
