query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"blogspot.com-w13","2014-04-16","weeks","13","91","4710000","2014-01-15","2014-01-22"
"blogspot.com-w14","2014-04-16","weeks","14","98","4690000","2014-01-08","2014-01-15"
"blogspot.com-w15","2014-04-16","weeks","15","105","4710000","2014-01-01","2014-01-08"
"blogspot.com-w16","2014-04-16","weeks","16","112","5220000","2013-12-25","2014-01-01"
"blogspot.com-w17","2014-04-16","weeks","17","119","5200000","2013-12-18","2013-12-25"
"blogspot.com-w18","2014-04-16","weeks","18","126","5210000","2013-12-11","2013-12-18"
"blogspot.com-w19","2014-04-16","weeks","19","133","5200000","2013-12-04","2013-12-11"
"blogspot.com-w20","2014-04-16","weeks","20","140","5230000","2013-11-27","2013-12-04"
"blogspot.com-w21","2014-04-16","weeks","21","147","5200000","2013-11-20","2013-11-27"
"blogspot.com-w22","2014-04-16","weeks","22","154","5630000","2013-11-13","2013-11-20"
"wordpress.com-w13","2014-04-16","weeks","13","91","18800000","2014-01-15","2014-01-22"
"wordpress.com-w14","2014-04-16","weeks","14","98","18800000","2014-01-08","2014-01-15"
"wordpress.com-w15","2014-04-16","weeks","15","105","18800000","2014-01-01","2014-01-08"
"wordpress.com-w16","2014-04-16","weeks","16","112","24900000","2013-12-25","2014-01-01"
"wordpress.com-w17","2014-04-16","weeks","17","119","25000000","2013-12-18","2013-12-25"
"wordpress.com-w18","2014-04-16","weeks","18","126","25000000","2013-12-11","2013-12-18"
"wordpress.com-w19","2014-04-16","weeks","19","133","25000000","2013-12-04","2013-12-11"
"wordpress.com-w20","2014-04-16","weeks","20","140","25000000","2013-11-27","2013-12-04"
"wordpress.com-w21","2014-04-16","weeks","21","147","25000000","2013-11-20","2013-11-27"
"wordpress.com-w22","2014-04-16","weeks","22","154","31100000","2013-11-13","2013-11-20"
"alternet.org-w13","2014-04-16","weeks","13","91","8620","2014-01-15","2014-01-22"
"alternet.org-w14","2014-04-16","weeks","14","98","9210","2014-01-08","2014-01-15"
"alternet.org-w15","2014-04-16","weeks","15","105","8620","2014-01-01","2014-01-08"
"alternet.org-w16","2014-04-16","weeks","16","112","9280","2013-12-25","2014-01-01"
"alternet.org-w17","2014-04-16","weeks","17","119","10600","2013-12-18","2013-12-25"
"alternet.org-w18","2014-04-16","weeks","18","126","10300","2013-12-11","2013-12-18"
"alternet.org-w19","2014-04-16","weeks","19","133","9890","2013-12-04","2013-12-11"
"alternet.org-w20","2014-04-16","weeks","20","140","9290","2013-11-27","2013-12-04"
"alternet.org-w21","2014-04-16","weeks","21","147","10300","2013-11-20","2013-11-27"
"alternet.org-w22","2014-04-16","weeks","22","154","10100","2013-11-13","2013-11-20"
"independent.co.uk-w13","2014-04-16","weeks","13","91","24300","2014-01-15","2014-01-22"
"independent.co.uk-w14","2014-04-16","weeks","14","98","24300","2014-01-08","2014-01-15"
"independent.co.uk-w15","2014-04-16","weeks","15","105","24500","2014-01-01","2014-01-08"
"independent.co.uk-w16","2014-04-16","weeks","16","112","29400","2013-12-25","2014-01-01"
"independent.co.uk-w17","2014-04-16","weeks","17","119","29300","2013-12-18","2013-12-25"
"independent.co.uk-w18","2014-04-16","weeks","18","126","29100","2013-12-11","2013-12-18"
"independent.co.uk-w19","2014-04-16","weeks","19","133","29500","2013-12-04","2013-12-11"
"independent.co.uk-w20","2014-04-16","weeks","20","140","29200","2013-11-27","2013-12-04"
"independent.co.uk-w21","2014-04-16","weeks","21","147","29100","2013-11-20","2013-11-27"
"independent.co.uk-w22","2014-04-16","weeks","22","154","34700","2013-11-13","2013-11-20"
"thedailybeast.com-w13","2014-04-16","weeks","13","91","4100","2014-01-15","2014-01-22"
"thedailybeast.com-w14","2014-04-16","weeks","14","98","4100","2014-01-08","2014-01-15"
"thedailybeast.com-w15","2014-04-16","weeks","15","105","4120","2014-01-01","2014-01-08"
"thedailybeast.com-w16","2014-04-16","weeks","16","112","5030","2013-12-25","2014-01-01"
"thedailybeast.com-w17","2014-04-16","weeks","17","119","5020","2013-12-18","2013-12-25"
"thedailybeast.com-w18","2014-04-16","weeks","18","126","5020","2013-12-11","2013-12-18"
"thedailybeast.com-w19","2014-04-16","weeks","19","133","5040","2013-12-04","2013-12-11"
"thedailybeast.com-w20","2014-04-16","weeks","20","140","4990","2013-11-27","2013-12-04"
"thedailybeast.com-w21","2014-04-16","weeks","21","147","5020","2013-11-20","2013-11-27"
"thedailybeast.com-w22","2014-04-16","weeks","22","154","6000","2013-11-13","2013-11-20"
"therealnews.com-w13","2014-04-16","weeks","13","91","734","2014-01-15","2014-01-22"
"therealnews.com-w14","2014-04-16","weeks","14","98","752","2014-01-08","2014-01-15"
"therealnews.com-w15","2014-04-16","weeks","15","105","770","2014-01-01","2014-01-08"
"therealnews.com-w16","2014-04-16","weeks","16","112","904","2013-12-25","2014-01-01"
"therealnews.com-w17","2014-04-16","weeks","17","119","922","2013-12-18","2013-12-25"
"therealnews.com-w18","2014-04-16","weeks","18","126","940","2013-12-11","2013-12-18"
"therealnews.com-w19","2014-04-16","weeks","19","133","963","2013-12-04","2013-12-11"
"therealnews.com-w20","2014-04-16","weeks","20","140","984","2013-11-27","2013-12-04"
"therealnews.com-w21","2014-04-16","weeks","21","147","996","2013-11-20","2013-11-27"
"therealnews.com-w22","2014-04-16","weeks","22","154","1120","2013-11-13","2013-11-20"
"wn.com-w13","2014-04-16","weeks","13","91","1290000","2014-01-15","2014-01-22"
"wn.com-w14","2014-04-16","weeks","14","98","1290000","2014-01-08","2014-01-15"
"wn.com-w15","2014-04-16","weeks","15","105","1290000","2014-01-01","2014-01-08"
"wn.com-w16","2014-04-16","weeks","16","112","1330000","2013-12-25","2014-01-01"
"wn.com-w17","2014-04-16","weeks","17","119","1320000","2013-12-18","2013-12-25"
"wn.com-w18","2014-04-16","weeks","18","126","1320000","2013-12-11","2013-12-18"
"wn.com-w19","2014-04-16","weeks","19","133","1330000","2013-12-04","2013-12-11"
"wn.com-w20","2014-04-16","weeks","20","140","1320000","2013-11-27","2013-12-04"
"wn.com-w21","2014-04-16","weeks","21","147","1320000","2013-11-20","2013-11-27"
"wn.com-w22","2014-04-16","weeks","22","154","1350000","2013-11-13","2013-11-20"
"aljazeera.com-w13","2014-04-16","weeks","13","91","11400","2014-01-15","2014-01-22"
"aljazeera.com-w14","2014-04-16","weeks","14","98","11400","2014-01-08","2014-01-15"
"aljazeera.com-w15","2014-04-16","weeks","15","105","11400","2014-01-01","2014-01-08"
"aljazeera.com-w16","2014-04-16","weeks","16","112","14100","2013-12-25","2014-01-01"
"aljazeera.com-w17","2014-04-16","weeks","17","119","14100","2013-12-18","2013-12-25"
"aljazeera.com-w18","2014-04-16","weeks","18","126","14100","2013-12-11","2013-12-18"
"aljazeera.com-w19","2014-04-16","weeks","19","133","14100","2013-12-04","2013-12-11"
"aljazeera.com-w20","2014-04-16","weeks","20","140","14100","2013-11-27","2013-12-04"
"aljazeera.com-w22","2014-04-16","weeks","22","154","16700","2013-11-13","2013-11-20"
"bbc.co.uk-w13","2014-04-16","weeks","13","91","165000","2014-01-15","2014-01-22"
